Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Naam stal;Straat + huisnummer;Plaats;KVK nummer;tel nummer ;;;;
2024;1391GT;1;1027600;Stal Willig;Gein-Zuid 16;Abcoude;51289776;06 51249789;;;;
2024;1391HJ;1;508900;Jha Van Blokland;Voetangelweg 9;Abcoude;30091941;;;;;
2024;1391HM;1;131200;;;;;;;;;
2024;1391HN;1;60160;;;;;;;;;
2024;1391HW;1;5000;;;;;;;;;
2024;1391JH;1;134000;;;;;;;;;
2024;1391KP;1;321900;;;;;;;;;
2024;1393PJ;1;630100;Veldhuisen Stables Nigtevecht;Klompweg 30;Nigtevecht;66893933;06 27338789;;;;
2024;1394AB;2;1588500;Pensionstal De Bergen;Meerlaan 23;Nederhorst den Berg;32081621;0294 257 514;;;;
2024;1398PC;1;9000;;;;;;;;;
2024;1398PE;1;119600;Muiderbuiten Bv 2;Noordpolderweg 2;Muiden;67107524;06 53790864;;;;
2024;1399EP;1;1419500;Any Dale Hippique;Googweg 9 A;;;651807539;;;;
2024;1411AX;1;52200;;;;;;;;;
2024;1423ST;1;51400;;;;;;;;;
2024;1426RW;1;248600;Amstelhoeve Recreatie;Ruigekade 24;de Hoef;30161046;06 31955436;;;;
2024;1431BM;1;49920;;;;;;;;;
2024;1432BJ;2;551900;;;;;;;;;
2024;1432BK;1;950400;;;;;;;;;
2024;1432BL;3;890600;;;;;;;;;
2024;1432CB;3;5653200;;;;;;;;;
2024;1432CD;1;639000;;;;;;;;;
2024;1432CP;1;197500;Handels En Pensionstal Lijnden;Aalsmeerderweg 317;Aalsmeer;34074420;06 51177606;;;;
2024;1435EK;1;297300;;;;;;;;;
2024;1435GE;1;54100;;;;;;;;;
2024;1446WJ;1;33000;;;;;;;;;
2024;1447AB;1;809300;;;;;;;;;
2024;1456NG;1;1363300;Fokkerij Handels En Afr Stal Marijnissen;Zuiderweg 60 B;Wijdewormer;35021247;06 51915201;;;;
2024;1456NH;2;821140;Jaap Zandvliet;Zuiderweg 63;Wijdewormer;34234993;0299 471 445;;;;
2024;1456NK;1;817300;Stal 104 Bv;Noorderweg 104;Wijdewormer;34111438;020 689 8970;;;;
2024;1456NM;1;1113900;Weel Stables;Noorderweg 133;Wijdewormer;75475057;06 31927124;;;;
2024;1458PP;1;199000;;;;;;;;;
2024;1461BN;1;749580;Stichting Ponyclub Zuidoostbeemster;Zuiderpad 6;;;610065152;;;;
2024;1461DB;1;10000;;;;;;;;;
2024;1461DR;3;127800;;;;;;;;;
2024;1461DS;1;190700;Jacatra Bv;Oostdijk 27;Zuidoostbeemster;36036266;0299 439 493;;;;
2024;1461GB;1;544000;;;;;;;;;
2024;1461HT;1;34320;;;;;;;;;
2024;1461LC;1;198000;;;;;;;;;
2024;1462HE;1;96000;;;;;;;;;
2024;1462JR;1;190000;;;;;;;;;
2024;1462LJ;1;635300;;;;;;;;;
2024;1462LK;1;342000;;;;;;;;;
2024;1462MG;1;442000;Maatschap J Worp En N Worp Spaans;Rijperweg 119;Middenbeemster;37161383;0299 683 466;;;;
2024;1463HA;3;765620;Stal Hertenhof Noordbeemster Bv;Middenweg 10;Noordbeemster;37088369;0299 690 855;;;;
2024;1463PG;1;997860;Stal Beemster Landgoed Vredeveld;Mijzerweg 5;Noordbeemster;36053281;0299 690 271;;;;
2024;1464GA;2;643600;Benz Stables;Zuiderweg 11;Westbeemster;54676010;06 21428829;;;;
2024;1464NA;1;39000;Stal Ingrid Vd Weiden;Wormerweg 10;Westbeemster;67729703;0299 397 070;;;;
2024;1464NK;1;136000;;;;;;;;;
2024;1471CB;1;1581100;Kl Stables;Kwadijk 24 a;Kwadijk;60951524;06 30316202;;;;
2024;1471CH;1;733800;;;;;;;;;
2024;1472BD;1;145000;;;;;;;;;
2024;1473PB;1;109620;;;;;;;;;
2024;1473PP;1;18000;Yaccaranda Arabians;IJsselmeerdijk 18 a;Warder;36033649;;;;;
2024;1475JJ;1;49220;Vof Ponyclub Sasja En Jd Ranch;Beets 132;Beets;37085601;06 51143986;;;;
2024;1481AN;1;145500;;;;;;;;;
2024;1488AB;1;80100;Fc Jongejans;Kogerpolder 16;Starnmeer;37149306;;;;;
2024;1488AC;1;584980;Trainingsstal Starnmeer;Damkensvoetpad 4;Starnmeer;35030673;;;;;
2024;1488AG;1;765500;;;;;;;;;
2024;1488AK;1;216980;Jongens Hands On Projects;Middelweg 1;Starnmeer;77258053;;;;;
2024;1511AP;1;1182000;;;;;;;;;
2024;1511GK;1;284080;;;;;;;;;
2024;1531KE;1;468500;;;;;;;;;
2024;1546LM;1;673700;;;;;;;;;
2024;1551PG;1;180000;;;;;;;;;
2024;1566AK;1;19280;;;;;;;;;
2024;1566AP;1;157700;;;;;;;;;
2024;1566AZ;1;1072300;Fokkerij Pensionstal Pegasus;Akere 8;Assendelft;77251660;075 687 3721;;;;
2024;1566NC;1;14000;;;;;;;;;
2024;1566PH;1;123760;Handels En Pensionstal Knap Bv;Veenpolderdijk 5 b;Assendelft;34174970;;;;;
2024;1566PJ;1;23100;;;;;;;;;
2024;1566PL;1;139000;Stoeterij Pensionstal Wilmartho;Vaartdijk 4 AB;Assendelft;35020852;075 687 4596;;;;
2024;1566PN;1;311200;Rm Stables;Vaartdijk 27 C;Assendelft;59127945;;;;;
2024;1602DR;1;641400;;;;;;;;;
2024;1606AB;1;126340;;;;;;;;;
2024;1608HH;1;793700;Firma Stoeterij Het Centrum;Blokdijk 9 C;Wijdenes;36013638;06 22443441;;;;
2024;1608MA;1;16000;;;;;;;;;
2024;1611BT;1;332000;;;;;;;;;
2024;1613PG;1;577920;Droomhoeve Bv;Geerling 14;Grootebroek;78765439;06 12214100;;;;
2024;1614LH;1;23000;;;;;;;;;
2024;1619JE;2;616800;Schoon Veehandel;Dijkweg 276;Andijk;36043576;06 51340773;;;;
2024;1619PR;2;275500;Anne Marie Groenveld Holding Bv;Vleetweg 28;Andijk;72209186;06 28855237;;;;
2024;1645VK;1;181480;;;;;;;;;
2024;1647AD;1;87800;;;;;;;;;
2024;1647CB;1;326380;Stal Liza;Slagterslaan 32;;;653716228;;;;
2024;1647MD;1;180000;;;;;;;;;
2024;1647MR;1;582580;;;;;;;;;
2024;1652PD;1;95200;Jan Wijnker;Noordermeer 13;Zuidermeer;62579878;;;;;
2024;1654JN;1;105000;;;;;;;;;
2024;1661BP;1;9980;;;;;;;;;
2024;1676EL;1;267300;M en N Horses;Bennemeersweg 23;;;075-6843589;;;;
2024;1678HG;2;384100;;;;;;;;;
2024;1684NH;1;161220;Oliver Stables;Zwaagdijk 265;;;610438739;;;;
2024;1693HL;1;101120;Leestensch Hof Vof;De Pijp 7;Wervershoof;8121942;0228 586 283;;;;
2024;1695CG;1;843300;Manege De Eenhoorn;Koewijzend 32;;;0229-275700;;;;
2024;1697KH;1;125940;;;;;;;;;
2024;1702PD;1;176140;Cv Stoeterij Haalstra;Jan Glijnisweg 52 B;Heerhugowaard;37114742;06 52687930;;;;
2024;1703DG;1;40140;;;;;;;;;
2024;1703RV;1;530120;Manege De Steenen Kamer;Rustenburgerweg 211 A;;;072-5745054;;;;
2024;1703RZ;2;916400;;;;;;;;;
2024;1704BJ;1;135000;;;;;;;;;
2024;1704DW;1;263000;;;;;;;;;
2024;1704NA;1;97300;Stoeterij Baccarav;A.C. de Graafweg 6;Heerhugowaard;37135733;06 41487307;;;;
2024;1704PE;1;166926;;;;;;;;;
2024;1713GG;1;513420;Dwh Dutch Warmblood Horses;Hofland 2 A;Obdam;34256736;06 28413723;;;;
2024;1715GH;1;432660;Maatschap K Slagter A Slagter Leeuw;Spanbroekerweg 1;Spanbroek;37149959;0226 351 780;;;;
2024;1718MP;1;384220;Talentenhoeve Stal Hoogwoud;Koningspade 30;;;0226-359736;;;;
2024;1724PT;1;885500;Vee En Paardenhouderij Beukers Bv;Wagenweg 12;Oudkarspel;37066401;0226 393 974;;;;
2024;1733GJ;1;228830;;;;;;;;;
2024;1733JC;1;287500;;;;;;;;;
2024;1734JJ;1;364500;;;;;;;;;
2024;1734MH;1;141280;;;;;;;;;
2024;1735ES;1;133000;;;;;;;;;
2024;1735EV;1;78000;;;;;;;;;
2024;1735GG;1;256000;;;;;;;;;
2024;1735JB;1;147000;;;;;;;;;
2024;1738DL;1;952840;;;;;;;;;
2024;1738DT;1;10322414;;;;;;;;;
2024;1742NW;1;14280;;;;;;;;;
2024;1744GE;1;188200;;;;;;;;;
2024;1744GK;1;79600;Jjd Blaauboer;Stroet 49;Sint Maarten;37161027;0224 551 382;;;;
2024;1749AZ;1;216000;Broersen Stables;Diepsmeerweg 39;Warmenhuizen;58490140;06 43573929;;;;
2024;1749DK;1;287000;;;;;;;;;
2024;1751DD;1;474220;;;;;;;;;
2024;1753BJ;1;96220;;;;;;;;;
2024;1755;1;24520;;;;;;;;;
2024;1759LD;1;1067900;Manege Noot;Zwarteweg 4;;;0223-641287;;;;
2024;1761JJ;1;15260;;;;;;;;;
2024;1764AV;1;3552000;;;;;;;;;
2024;1767EJ;1;248000;;;;;;;;;
2024;1768BT;1;112760;;;;;;;;;
2024;1771AD;1;126900;;;;;;;;;
2024;1775PJ;1;498500;;;;;;;;;
2024;1789AC;1;765800;;;;;;;;;
2024;1789AJ;1;100000;;;;;;;;;
2024;1792CH;1;130606;;;;;;;;;
2024;1797SB;1;22000;;;;;;;;;
2024;1812RB;1;600780;;;;;;;;;
2024;1815VX;1;50000;;;;;;;;;
2024;1824EX;1;96200;Vonk MBO Alkmaar;Drechterwaard 10;;;31725610934;;;;
2024;1840;1;341400;;;;;;;;;
2024;1842EH;1;68000;;;;;;;;;
2024;1846LE;1;30000;;;;;;;;;
2024;1847LM;1;273020;Stoeterij Fleurstables;Laanweg 3;Zuidschermer;60666447;06 54971565;;;;
2024;1851BA;1;10015;;;;;;;;;
2024;1851LR;1;123300;;;;;;;;;
2024;1851PM;1;40000;;;;;;;;;
2024;1861KR;1;30100;;;;;;;;;
2024;1861PH;1;15000;Maatschap Veldt 2;Groeneweg 2;Bergen (NH);37153841;072 589 7363;;;;
2024;1862PV;1;147300;;;;;;;;;
2024;1871AH;1;1936800;;;;;;;;;
2024;1902RZ;1;475900;;;;;;;;;
2024;1911LZ;1;43660;;;;;;;;;
2024;1911NK;1;450000;;;;;;;;;
2024;1911NL;1;330000;;;;;;;;;
2024;1921AV;1;7000;;;;;;;;;
2024;1934PC;1;974800;Manege Groot;Herenweg 154;;;072-5061907;;;;
2024;1934PM;2;414000;Stal Valkering;Hoeverweg 2 A;Egmond aan den Hoef;61943746;072 506 4371;;;;
2024;1934PN;1;51400;;;;;;;;;
2024;1935BR;1;278580;;;;;;;;;
2024;1935EZ;1;807280;Manege de Duinrand;Duinweg 1 B;;;31621870808;;;;
2024;1942LD;1;76000;;;;;;;;;
2024;1944NZ;1;178000;;;;;;;;;
2024;1944PA;1;448300;;;;;;;;;
2024;1945TT;1;177260;;;;;;;;;
2024;1964KJ;1;760400;;;;;;;;;
2024;1968LP;1;113000;Vof Stal De Ruyter;Noordermaatweg 8;Heemskerk;56663420;0251 250643;;;;
2024;1969KP;1;37820;;;;;;;;;
2024;1969ME;1;69000;;;;;;;;;
2024;1969MT;1;81000;;;;;;;;;
2024;1981LE;1;806200;Manege VarioHippiQue;Amsterdamseweg 30;;;641761388;;;;
2024;1981LM;1;145000;;;;;;;;;
2024;1991JB;1;49000;;;;;;;;;
2024;2013AS;1;208160;Stal Vosse Vof;Kinderhuissingel 2 D;Haarlem;34014378;023 531 2876;;;;
2024;2026BJ;1;171600;;;;;;;;;
2024;2026VL;1;93000;;;;;;;;;
2024;2031BL;1;890600;Green Sporthorses Bv;A. Hofmanweg 40;Haarlem;76523713;023-5515905;;;;
2024;2033AC;1;528000;;;;;;;;;
2024;2041KM;1;30000;;;;;;;;;
2024;2041XA;1;635300;;;;;;;;;
2024;2064WJ;1;109400;;;;;;;;;
2024;2071AN;1;74000;;;;;;;;;
2024;2071LG;2;1296000;;;;;;;;;
2024;2105MB;1;37600;;;;;;;;;
2024;2105MG;1;9020;;;;;;;;;
2024;2114BC;1;1235800;Stal S Gravenweg;Vogelenzangseweg 164;Vogelenzang;69644616;023 584 5111;;;;
2024;2116GA;1;1063900;Stal De Naaldenhof BV;Zuidlaan 51;;;023-5243959;;;;
2024;2131LR;1;170000;;;;;;;;;
2024;2131LV;1;295000;Stal Starro;IJweg 951;Hoofddorp;34226196;06 54382179;;;;
2024;2131MT;1;131500;;;;;;;;;
2024;2136LJ;1;226000;;;;;;;;;
2024;2136LK;1;438500;;;;;;;;;
2024;2136LR;1;541800;;;;;;;;;
2024;2141BG;1;372700;;;;;;;;;
2024;2141BH;1;307000;;;;;;;;;
2024;2141BJ;2;340200;;;;;;;;;
2024;2141BR;2;368980;;;;;;;;;
2024;2141BS;3;850640;;;;;;;;;
2024;2141EV;1;226600;;;;;;;;;
2024;2142ES;1;318800;Stal Cruquius;Cruquiusdijk 68 B;Cruquius;34185148;023 558 1288;;;;
2024;2143CJ;1;631060;;;;;;;;;
2024;2144KV;1;1239600;Stal Jasper;Hillegommerdijk 417;Hoofddorp;;0252 524 898;;;;
2024;2152BL;1;345300;;;;;;;;;
2024;2152NA;1;1360520;Meers Paarden Centrum;Ijweg 1273;Nieuw-Vennep;;0252 234 325;;;;
2024;2153KC;1;189100;;;;;;;;;
2024;2153KD;1;101800;Western Wranglers;Rijnlanderweg 1337;Nieuw-Vennep;70228108;0252 676 211;;;;
2024;2153KE;1;1767940;Nijssen Fourages Bv;Rijnlanderweg 1427;Nieuw-Vennep;;0252 674 041;;;;
2024;2153KG;1;129200;;;;;;;;;
2024;2153KH;1;177700;;;;;;;;;
2024;2153LN;1;130000;;;;;;;;;
2024;2153MD;1;817000;;;;;;;;;
2024;2156MX;1;30100;;;;;;;;;
2024;2157PB;1;141000;;;;;;;;;
2024;2160;1;342800;;;;;;;;;
2024;2161AM;1;98900;;;;;;;;;
2024;2161KE;1;146600;;;;;;;;;
2024;2162KL;1;464800;;;;;;;;;
2024;2165AR;1;1304000;;;;;;;;;
2024;2171AL;1;33500;;;;;;;;;
2024;2171BB;1;1055900;;;;;;;;;
2024;2181HB;1;112800;Manege Hillegom;Amperestraat 8 D D;;;0252-520373;;;;
2024;2200;1;586400;;;;;;;;;
2024;2201CZ;1;78700;;;;;;;;;
2024;2201EZ;1;598780;;;;;;;;;
2024;2201ZG;1;103100;;;;;;;;;
2024;2202BZ;1;68600;;;;;;;;;
2024;2202NG;1;270000;;;;;;;;;
2024;2204AA;1;93700;;;;;;;;;
2024;2204AP;1;589040;Stal Van Nobelen Bv;Kraaierslaan 2;Noordwijk;28073576;0252 377 452;;;;
2024;2204AV;1;155100;;;;;;;;;
2024;2211XM;1;820500;No Limits Noordwijk;Schulpweg 129;;;088- 02 24 300;;;;
2024;2221BL;1;666200;Manege Jonker;Noordduinseweg 7 9;;;071-4024743;;;;
2024;2223LA;2;757200;;;;;;;;;
2024;2223LC;1;1099900;;;;;;;;;
2024;2231NR;1;48480;;;;;;;;;
2024;2240;1;949820;;;;;;;;;
2024;2241BG;3;1162300;Stoeterij Van Alle Winden Bv;Oostdorperweg 214;Wassenaar;74032283;;;;;
2024;2242;1;487160;;;;;;;;;
2024;2242AA;1;621300;;;;;;;;;
2024;2244BK;1;284200;;;;;;;;;
2024;2244BN;1;1074720;;;;;;;;;
2024;2245AG;1;167000;;;;;;;;;
2024;2245BG;1;40400;;;;;;;;;
2024;2252AH;1;274000;;;;;;;;;
2024;2253JA;1;428100;;;;;;;;;
2024;2253NB;1;258600;;;;;;;;;
2024;2254AL;1;151800;De Halve Heerlijkheid;Papelaan-West 232;Voorschoten;66344859;06 30462194;;;;
2024;2260;1;1618600;;;;;;;;;
2024;2264EG;1;65100;;;;;;;;;
2024;2264TK;1;526000;;;;;;;;;
2024;2265CL;1;284900;Ajwm Lelieveld;Veursestraatweg 288;Leidschendam;51695499;;;;;
2024;2266GC;1;272400;Raafael;Stompwijkseweg 11 A;Leidschendam;58310037;;;;;
2024;2266GG;1;116150;A Breedijk;Stompwijkseweg 48;Leidschendam;76818098;070 320 0323;;;;
2024;2266GL;1;48500;;;;;;;;;
2024;2266GM;2;596360;;;;;;;;;
2024;2266HJ;1;61040;;;;;;;;;
2024;2266HW;1;1032000;De Meerhoeve;Meer- en Geerweg 3 A;Leidschendam;71135685;06 55165220;;;;
2024;2286AD;1;978200;;;;;;;;;
2024;2291HM;1;258200;;;;;;;;;
2024;2300;1;580100;;;;;;;;;
2024;2310;1;713730;;;;;;;;;
2024;2317RH;1;214000;;;;;;;;;
2024;2320;1;295800;;;;;;;;;
2024;2323LC;1;325400;;;;;;;;;
2024;2323LG;1;120000;Whl Van Der Post;Vlietweg 82;Leiden;52277089;06 21553663;;;;
2024;2328;1;22200;;;;;;;;;
2024;2330;1;485800;;;;;;;;;
2024;2333AL;1;253200;Manege Moedig Voorwaarts;Wassenaarseweg 525;;;071-5155234;;;;
2024;2342AK;1;198490;;;;;;;;;
2024;2353BZ;1;622000;Ruitervereniging Liethorp;Bloemerd 5;;;071-5411078;;;;
2024;2361GC;1;168800;;;;;;;;;
2024;2370;1;78300;;;;;;;;;
2024;2374BW;2;790800;Stal Zwetsloot;Achterwetering 8;Oud Ade;52234134;06 22405627;;;;
2024;2375NA;1;874120;Stal De Ripse Ruiters;Ripselaan 6;;;071-5012009;;;;
2024;2376AX;1;660800;Time Stables;Achterweg 33;;;071-3314241;;;;
2024;2381;1;84400;;;;;;;;;
2024;2381EM;1;187900;;;;;;;;;
2024;2381EW;1;33988;Vleesveehouderij Spronk;Laan van Oud Raadwijk 6;Zoeterwoude;27354548;06 43813773;;;;
2024;2381LG;1;129000;;;;;;;;;
2024;2382;1;503200;;;;;;;;;
2024;2382GZ;1;301000;Stal De Nieuwe Uithof;Molenpad 7 A;Zoeterwoude;67501273;06 22913218;;;;
2024;2390;1;1708080;;;;;;;;;
2024;2391AG;1;360460;Studio Citta;Voorweg 86;Hazerswoude-Dorp;28092723;;;;;
2024;2391JE;1;493200;;;;;;;;;
2024;2391MS;1;2270000;Fa Kaptein;Burmadeweg 12;Hazerswoude-Dorp;28025353;071 341 3586;;;;
2024;2391NS;1;396000;;;;;;;;;
2024;2394AD;2;1343000;Manege Xenophon;Rijndijk 79;Hazerswoude-Rijndijk;28042721;06 22888138;;;;
2024;2401LP;1;256000;Lone Star Western Stable;Gnephoek 42;Alphen aan den Rijn;28089985;06 41918285;;;;
2024;2401LT;1;150000;;;;;;;;;
2024;2402NH;1;70500;;;;;;;;;
2024;2403NA;1;685000;;;;;;;;;
2024;2407AB;1;115815;Vof Captein;J.C. Hoogendoornlaan 37 A;Alphen aan den Rijn;27349027;06 12830254;;;;
2024;2407BD;1;16440;;;;;;;;;
2024;2411HZ;1;330000;;;;;;;;;
2024;2411RD;1;583800;Hippisch Centrum Bodegraven;Noordzijde 96;;;0172-616734;;;;
2024;2411RE;1;106000;Stal De Olijftak;Noordzijde 111;Bodegraven;28093980;06 53896632;;;;
2024;2411RG;1;117120;;;;;;;;;
2024;2411RT;2;544500;Lj Hofland Beheer Bv;Zuidzijde 63;Bodegraven;28110861;0172 650107;;;;
2024;2411RX;1;26200;;;;;;;;;
2024;2415BG;1;707400;Dirk Jan De Wit;De Bree 22;Nieuwerbrug aan den Rijn;70685703;0348 688 530;;;;
2024;2421KZ;1;161200;Stal Oosterman;Electronweg 1;Nieuwkoop;28085971;0172 574 584;;;;
2024;2421XW;1;440300;;;;;;;;;
2024;2435NC;1;74800;;;;;;;;;
2024;2435ND;1;865500;;;;;;;;;
2024;2435NK;1;151900;;;;;;;;;
2024;2440;1;9000;;;;;;;;;
2024;2441GG;1;528000;;;;;;;;;
2024;2445AA;1;612680;;;;;;;;;
2024;2451BB;1;459100;Maatschap Gebr Kea;Willem van der Veldenweg 8;Leimuiden;27354120;0172 507 312;;;;
2024;2460;1;1052360;;;;;;;;;
2024;2461BZ;1;126900;;;;;;;;;
2024;2461CN;1;789600;;;;;;;;;
2024;2461EJ;1;62300;;;;;;;;;
2024;2461EW;1;108700;;;;;;;;;
2024;2471XE;1;165000;;;;;;;;;
2024;2481KE;2;581444;;;;;;;;;
2024;2481KT;1;70300;;;;;;;;;
2024;2481KX;1;316850;Gph Stud;Boddens Hosangweg 45;Woubrugge;28078537;06 54626622;;;;
2024;2481NA;1;483320;;;;;;;;;
2024;2481NB;1;664900;;;;;;;;;
2024;2493ZH;1;354008;;;;;;;;;
2024;2493ZJ;1;109600;;;;;;;;;
2024;2495AG;1;595000;;;;;;;;;
2024;2497NX;1;601400;;;;;;;;;
2024;2500;1;630200;;;;;;;;;
2024;2514BP;1;134800;;;;;;;;;
2024;2514CV;1;215300;;;;;;;;;
2024;2514HA;1;642600;;;;;;;;;
2024;2520;1;513160;;;;;;;;;
2024;2530;1;1021900;;;;;;;;;
2024;2533SX;1;122700;;;;;;;;;
2024;2544LG;1;1588700;Manege Berestein;Lozerlaan 10;Den Haag;;070 367 6090;;;;
2024;2544NS;1;897100;HC Westland;Poeldijkseweg 47;;;0174-298541;;;;
2024;2550;1;647100;;;;;;;;;
2024;2552RD;1;250800;;;;;;;;;
2024;2553EG;1;390200;;;;;;;;;
2024;2553EP;1;292480;;;;;;;;;
2024;2555VW;1;40100;;;;;;;;;
2024;2560;1;158400;;;;;;;;;
2024;2564CW;1;110500;;;;;;;;;
2024;2565AB;1;687600;Manege De Wildhoef;Daal en Bergselaan 23;;;070-3254330;;;;
2024;2580;1;137320;;;;;;;;;
2024;2585HD;1;8000;;;;;;;;;
2024;2597JH;1;279200;;;;;;;;;
2024;2623NB;1;13600;;;;;;;;;
2024;2629HD;2;805100;Stal Poot;Rotterdamseweg 191 A;Delft;54972914;015 256 1353;;;;
2024;2629JE;1;3472700;Manege De Prinsenstad Bv;Rijksstraatweg 145;Delft;27219574;010 470 4860;;;;
2024;2630;1;292400;;;;;;;;;
2024;2631NC;1;55380;;;;;;;;;
2024;2631PB;1;1812000;Hippisch Centrum Nootdorp;Oudeweg 62;Nootdorp;;;;;;
2024;2631PR;1;640000;;;;;;;;;
2024;2635AC;2;1639000;;;;;;;;;
2024;2636AK;1;137000;;;;;;;;;
2024;2636AW;1;194400;;;;;;;;;
2024;2636AX;1;119742;;;;;;;;;
2024;2636EC;2;832900;Stal Langelaan;Oostveenseweg 9;Schipluiden;66275385;06 26030747;;;;
2024;2636ED;1;36640;Olsthoorn Stables;Oostveenseweg 4;Schipluiden;27282076;06 19522791;;;;
2024;2636EG;1;94000;;;;;;;;;
2024;2636KE;1;490000;;;;;;;;;
2024;2641AZ;1;401800;;;;;;;;;
2024;2641NE;1;40500;;;;;;;;;
2024;2641NR;1;28305;;;;;;;;;
2024;2641NX;3;1234000;;;;;;;;;
2024;2641NZ;1;275200;;;;;;;;;
2024;2641PC;1;633600;;;;;;;;;
2024;2641PX;1;175700;;;;;;;;;
2024;2641TX;1;96300;;;;;;;;;
2024;2642KN;1;396400;;;;;;;;;
2024;2645BD;1;700200;Dressage Horses Vitale Prijs;Zuideindseweg 25;Delfgauw;60696702;0251 671 990;;;;
2024;2645BE;1;150500;;;;;;;;;
2024;2645BH;1;68000;;;;;;;;;
2024;2645CA;1;30500;;;;;;;;;
2024;2651KV;1;201000;Stoeterij Galloper;Kleihoogt 11 b;Berkel en Rodenrijs;27275688;010 511 2326;;;;
2024;2651LN;1;207800;;;;;;;;;
2024;2651LV;1;240500;;;;;;;;;
2024;2661CS;1;1654900;Manege Lansbergen ;Bergweg-Zuid 135;Bergschenhoek;;010 524 0504;;;;
2024;2661CT;1;158600;;;;;;;;;
2024;2661DD;1;47000;;;;;;;;;
2024;2661ET;1;281100;;;;;;;;;
